load,wind,solar,time
29030.0,2428,0,2014-08-01 00:00:00
26758.0,2339,0,2014-08-01 01:00:00
25176.0,2306,0,2014-08-01 02:00:00
24236.0,2250,0,2014-08-01 03:00:00
23821.0,2142,0,2014-08-01 04:00:00
24260.0,1910,0,2014-08-01 05:00:00
25541.0,1620,96,2014-08-01 06:00:00
27030.0,1318,801,2014-08-01 07:00:00
29129.0,1030,2165,2014-08-01 08:00:00
31067.0,624,3192,2014-08-01 09:00:00
33602.0,385,3775,2014-08-01 10:00:00
35746.0,393,4088,2014-08-01 11:00:00
37686.0,367,4250,2014-08-01 12:00:00
39499.0,420,4164,2014-08-01 13:00:00
41246.0,570,4097,2014-08-01 14:00:00
42676.0,884,3577,2014-08-01 15:00:00
43184.0,1150,3011,2014-08-01 16:00:00
43061.0,1363,2337,2014-08-01 17:00:00
42001.0,1391,1101,2014-08-01 18:00:00
40238.0,1491,185,2014-08-01 19:00:00
39118.0,1790,0,2014-08-01 20:00:00
38002.0,2076,0,2014-08-01 21:00:00
35431.0,1983,0,2014-08-01 22:00:00
31984.0,1876,0,2014-08-01 23:00:00
28853.0,1801,0,2014-08-02 00:00:00
26481.0,1900,0,2014-08-02 01:00:00
24859.0,2089,0,2014-08-02 02:00:00
23743.0,2089,0,2014-08-02 03:00:00
23160.0,1937,0,2014-08-02 04:00:00
23034.0,1641,0,2014-08-02 05:00:00
23268.0,1402,47,2014-08-02 06:00:00
23580.0,1265,573,2014-08-02 07:00:00
25541.0,1122,1350,2014-08-02 08:00:00
27132.0,915,1661,2014-08-02 09:00:00
28878.0,740,1946,2014-08-02 10:00:00
30606.0,889,2101,2014-08-02 11:00:00
31930.0,830,2377,2014-08-02 12:00:00
33258.0,822,2262,2014-08-02 13:00:00
34272.0,940,2164,2014-08-02 14:00:00
34403.0,1298,2063,2014-08-02 15:00:00
34817.0,1389,1466,2014-08-02 16:00:00
34479.0,1326,922,2014-08-02 17:00:00
34225.0,1372,485,2014-08-02 18:00:00
33111.0,1379,0,2014-08-02 19:00:00
33210.0,1377,0,2014-08-02 20:00:00
33178.0,1222,0,2014-08-02 21:00:00
31672.0,1332,0,2014-08-02 22:00:00
