load,wind,solar,time
19537.0,235,0,2014-12-01 00:00:00
18559.0,208,0,2014-12-01 01:00:00
18055.0,135,0,2014-12-01 02:00:00
17904.0,226,0,2014-12-01 03:00:00
18136.0,252,0,2014-12-01 04:00:00
19111.0,144,0,2014-12-01 05:00:00
21322.0,109,0,2014-12-01 06:00:00
23877.0,74,618,2014-12-01 07:00:00
24840.0,102,1648,2014-12-01 08:00:00
25260.0,72,2347,2014-12-01 09:00:00
25508.0,114,2547,2014-12-01 10:00:00
25641.0,100,2417,2014-12-01 11:00:00
25671.0,117,2079,2014-12-01 12:00:00
25827.0,122,1703,2014-12-01 13:00:00
25769.0,130,988,2014-12-01 14:00:00
25901.0,134,373,2014-12-01 15:00:00
26134.0,139,0,2014-12-01 16:00:00
28747.0,212,0,2014-12-01 17:00:00
29995.0,218,0,2014-12-01 18:00:00
29165.0,214,0,2014-12-01 19:00:00
28558.0,284,0,2014-12-01 20:00:00
27089.0,340,0,2014-12-01 21:00:00
25018.0,332,0,2014-12-01 22:00:00
22581.0,380,0,2014-12-01 23:00:00
20708.0,348,0,2014-12-02 00:00:00
19589.0,322,0,2014-12-02 01:00:00
18953.0,468,0,2014-12-02 02:00:00
18625.0,547,0,2014-12-02 03:00:00
18753.0,474,0,2014-12-02 04:00:00
19740.0,441,0,2014-12-02 05:00:00
21997.0,412,0,2014-12-02 06:00:00
24434.0,513,98,2014-12-02 07:00:00
25490.0,350,315,2014-12-02 08:00:00
26167.0,447,580,2014-12-02 09:00:00
26685.0,589,678,2014-12-02 10:00:00
27202.0,706,517,2014-12-02 11:00:00
27287.0,663,474,2014-12-02 12:00:00
27417.0,1153,443,2014-12-02 13:00:00
27120.0,1063,490,2014-12-02 14:00:00
26928.0,920,300,2014-12-02 15:00:00
27290.0,776,0,2014-12-02 16:00:00
30010.0,903,0,2014-12-02 17:00:00
30174.0,625,0,2014-12-02 18:00:00
29374.0,375,0,2014-12-02 19:00:00
28703.0,265,0,2014-12-02 20:00:00
27307.0,232,0,2014-12-02 21:00:00
25145.0,181,0,2014-12-02 22:00:00
22719.0,195,0,2014-12-02 23:00:00
20793.0,173,0,2014-12-03 00:00:00
19704.0,210,0,2014-12-03 01:00:00
19076.0,425,0,2014-12-03 02:00:00
18692.0,381,0,2014-12-03 03:00:00
18798.0,317,0,2014-12-03 04:00:00
19723.0,185,0,2014-12-03 05:00:00
21859.0,349,0,2014-12-03 06:00:00
24159.0,573,216,2014-12-03 07:00:00
25024.0,408,949,2014-12-03 08:00:00
25601.0,575,1305,2014-12-03 09:00:00
25891.0,772,1595,2014-12-03 10:00:00
26509.0,930,1691,2014-12-03 11:00:00
26542.0,849,1573,2014-12-03 12:00:00
26589.0,631,1217,2014-12-03 13:00:00
26771.0,376,798,2014-12-03 14:00:00
26700.0,217,415,2014-12-03 15:00:00
27171.0,118,0,2014-12-03 16:00:00
29259.0,79,0,2014-12-03 17:00:00
29683.0,114,0,2014-12-03 18:00:00
29142.0,150,0,2014-12-03 19:00:00
28245.0,170,0,2014-12-03 20:00:00
