load,wind,solar,time
22499.0,2711,0,2013-10-01 00:00:00
21154.0,2744,0,2013-10-01 01:00:00
20295.0,2827,0,2013-10-01 02:00:00
19876.0,2800,0,2013-10-01 03:00:00
19867.0,2495,0,2013-10-01 04:00:00
20583.0,2421,0,2013-10-01 05:00:00
22518.0,2402,4,2013-10-01 06:00:00
24708.0,2272,404,2013-10-01 07:00:00
25304.0,1954,1389,2013-10-01 08:00:00
26595.0,1492,2235,2013-10-01 09:00:00
27693.0,1122,2585,2013-10-01 10:00:00
28631.0,991,2655,2013-10-01 11:00:00
28967.0,1126,2699,2013-10-01 12:00:00
29443.0,1241,2641,2013-10-01 13:00:00
30299.0,1482,2620,2013-10-01 14:00:00
30460.0,1870,2349,2013-10-01 15:00:00
30726.0,2028,1730,2013-10-01 16:00:00
30624.0,1831,743,2013-10-01 17:00:00
30328.0,1897,15,2013-10-01 18:00:00
31123.0,2235,0,2013-10-01 19:00:00
30951.0,2342,0,2013-10-01 20:00:00
29508.0,2275,0,2013-10-01 21:00:00
27175.0,2055,0,2013-10-01 22:00:00
24537.0,2160,0,2013-10-01 23:00:00
22288.0,2058,0,2013-10-02 00:00:00
21061.0,1909,0,2013-10-02 01:00:00
20278.0,1706,0,2013-10-02 02:00:00
19984.0,1702,0,2013-10-02 03:00:00
19968.0,1563,0,2013-10-02 04:00:00
20777.0,1590,0,2013-10-02 05:00:00
22858.0,1650,1,2013-10-02 06:00:00
25020.0,1723,376,2013-10-02 07:00:00
25930.0,1401,1341,2013-10-02 08:00:00
27012.0,1120,2219,2013-10-02 09:00:00
27586.0,1307,2606,2013-10-02 10:00:00
28142.0,1666,2714,2013-10-02 11:00:00
28372.0,1826,2688,2013-10-02 12:00:00
28888.0,2241,2654,2013-10-02 13:00:00
29412.0,2521,2614,2013-10-02 14:00:00
29750.0,2831,2313,2013-10-02 15:00:00
29798.0,3212,1744,2013-10-02 16:00:00
29657.0,3221,747,2013-10-02 17:00:00
29025.0,3021,15,2013-10-02 18:00:00
30427.0,3149,0,2013-10-02 19:00:00
30274.0,3704,0,2013-10-02 20:00:00
29041.0,3272,0,2013-10-02 21:00:00
26829.0,3444,0,2013-10-02 22:00:00
24160.0,3079,0,2013-10-02 23:00:00
22213.0,2978,0,2013-10-03 00:00:00
20986.0,3188,0,2013-10-03 01:00:00
20371.0,3258,0,2013-10-03 02:00:00
20064.0,2884,0,2013-10-03 03:00:00
20145.0,2793,0,2013-10-03 04:00:00
20965.0,3023,0,2013-10-03 05:00:00
23076.0,2914,3,2013-10-03 06:00:00
25366.0,2512,380,2013-10-03 07:00:00
25836.0,2507,1337,2013-10-03 08:00:00
26598.0,2703,2179,2013-10-03 09:00:00
27307.0,2967,2536,2013-10-03 10:00:00
27730.0,3291,2656,2013-10-03 11:00:00
27951.0,3738,2645,2013-10-03 12:00:00
28195.0,3737,2626,2013-10-03 13:00:00
28647.0,3674,2566,2013-10-03 14:00:00
28493.0,3793,2269,2013-10-03 15:00:00
28610.0,3613,1668,2013-10-03 16:00:00
28027.0,3368,645,2013-10-03 17:00:00
27592.0,3839,0,2013-10-03 18:00:00
29384.0,3942,0,2013-10-03 19:00:00
29579.0,3451,0,2013-10-03 20:00:00
28401.0,2651,0,2013-10-03 21:00:00
26260.0,1922,0,2013-10-03 22:00:00
23726.0,1496,0,2013-10-03 23:00:00
21825.0,1316,0,2013-10-04 00:00:00
20666.0,1313,0,2013-10-04 01:00:00
19931.0,1436,0,2013-10-04 02:00:00
19509.0,1524,0,2013-10-04 03:00:00
19529.0,1617,0,2013-10-04 04:00:00
20318.0,1674,0,2013-10-04 05:00:00
22195.0,1699,0,2013-10-04 06:00:00
24434.0,1739,352,2013-10-04 07:00:00
25092.0,1915,1299,2013-10-04 08:00:00
26135.0,2289,2184,2013-10-04 09:00:00
26990.0,2683,2588,2013-10-04 10:00:00
27751.0,2570,2677,2013-10-04 11:00:00
28085.0,2553,2678,2013-10-04 12:00:00
28279.0,2427,2666,2013-10-04 13:00:00
28859.0,2060,2614,2013-10-04 14:00:00
28964.0,1898,2312,2013-10-04 15:00:00
29135.0,1852,1710,2013-10-04 16:00:00
29000.0,1709,697,2013-10-04 17:00:00
28501.0,1246,0,2013-10-04 18:00:00
29384.0,834,0,2013-10-04 19:00:00
29325.0,888,0,2013-10-04 20:00:00
28202.0,818,0,2013-10-04 21:00:00
26375.0,685,0,2013-10-04 22:00:00
24080.0,658,0,2013-10-04 23:00:00
22125.0,728,0,2013-10-05 00:00:00
20786.0,917,0,2013-10-05 01:00:00
19845.0,1014,0,2013-10-05 02:00:00
19282.0,922,0,2013-10-05 03:00:00
19066.0,934,0,2013-10-05 04:00:00
19276.0,931,0,2013-10-05 05:00:00
20021.0,855,0,2013-10-05 06:00:00
20749.0,842,366,2013-10-05 07:00:00
21792.0,796,1310,2013-10-05 08:00:00
23117.0,852,2181,2013-10-05 09:00:00
23946.0,1110,2559,2013-10-05 10:00:00
24765.0,1329,2633,2013-10-05 11:00:00
25202.0,1338,2626,2013-10-05 12:00:00
25606.0,1247,2620,2013-10-05 13:00:00
26169.0,1193,2588,2013-10-05 14:00:00
26705.0,999,2305,2013-10-05 15:00:00
27306.0,776,1710,2013-10-05 16:00:00
27785.0,569,675,2013-10-05 17:00:00
27752.0,355,0,2013-10-05 18:00:00
28981.0,287,0,2013-10-05 19:00:00
28449.0,245,0,2013-10-05 20:00:00
27357.0,230,0,2013-10-05 21:00:00
25493.0,228,0,2013-10-05 22:00:00
23434.0,227,0,2013-10-05 23:00:00
21615.0,273,0,2013-10-06 00:00:00
20302.0,279,0,2013-10-06 01:00:00
19340.0,294,0,2013-10-06 02:00:00
18742.0,267,0,2013-10-06 03:00:00
18469.0,196,0,2013-10-06 04:00:00
18536.0,173,0,2013-10-06 05:00:00
18957.0,197,0,2013-10-06 06:00:00
19208.0,192,366,2013-10-06 07:00:00
20041.0,188,1311,2013-10-06 08:00:00
21204.0,216,2161,2013-10-06 09:00:00
22292.0,282,2410,2013-10-06 10:00:00
23168.0,323,2481,2013-10-06 11:00:00
24082.0,348,2477,2013-10-06 12:00:00
24734.0,223,2463,2013-10-06 13:00:00
25547.0,150,2390,2013-10-06 14:00:00
26369.0,109,2045,2013-10-06 15:00:00
27367.0,59,1518,2013-10-06 16:00:00
27991.0,55,574,2013-10-06 17:00:00
28164.0,70,0,2013-10-06 18:00:00
29209.0,71,0,2013-10-06 19:00:00
28931.0,67,0,2013-10-06 20:00:00
27654.0,74,0,2013-10-06 21:00:00
25454.0,93,0,2013-10-06 22:00:00
23021.0,115,0,2013-10-06 23:00:00
21206.0,137,0,2013-10-07 00:00:00
19909.0,122,0,2013-10-07 01:00:00
19224.0,80,0,2013-10-07 02:00:00
18817.0,51,0,2013-10-07 03:00:00
18985.0,49,0,2013-10-07 04:00:00
19727.0,41,0,2013-10-07 05:00:00
21847.0,61,0,2013-10-07 06:00:00
24106.0,78,233,2013-10-07 07:00:00
25018.0,107,768,2013-10-07 08:00:00
26042.0,65,1151,2013-10-07 09:00:00
27123.0,35,1539,2013-10-07 10:00:00
27985.0,45,1846,2013-10-07 11:00:00
28541.0,79,1946,2013-10-07 12:00:00
29072.0,162,1812,2013-10-07 13:00:00
29630.0,332,1803,2013-10-07 14:00:00
30110.0,478,1635,2013-10-07 15:00:00
30414.0,584,1265,2013-10-07 16:00:00
30260.0,669,493,2013-10-07 17:00:00
29826.0,801,0,2013-10-07 18:00:00
31084.0,905,0,2013-10-07 19:00:00
30784.0,982,0,2013-10-07 20:00:00
28983.0,1229,0,2013-10-07 21:00:00
26458.0,1353,0,2013-10-07 22:00:00
23854.0,1349,0,2013-10-07 23:00:00
21862.0,1397,0,2013-10-08 00:00:00
20620.0,1408,0,2013-10-08 01:00:00
19808.0,1408,0,2013-10-08 02:00:00
19454.0,1749,0,2013-10-08 03:00:00
19509.0,1825,0,2013-10-08 04:00:00
20240.0,1788,0,2013-10-08 05:00:00
22338.0,1814,0,2013-10-08 06:00:00
24625.0,1389,271,2013-10-08 07:00:00
25700.0,1224,1042,2013-10-08 08:00:00
26064.0,1365,1783,2013-10-08 09:00:00
26754.0,1224,2111,2013-10-08 10:00:00
27379.0,1255,2235,2013-10-08 11:00:00
27990.0,1309,2231,2013-10-08 12:00:00
28320.0,1786,2251,2013-10-08 13:00:00
28449.0,1935,2217,2013-10-08 14:00:00
28483.0,1715,1994,2013-10-08 15:00:00
28476.0,1576,1461,2013-10-08 16:00:00
28300.0,1469,487,2013-10-08 17:00:00
28071.0,1493,0,2013-10-08 18:00:00
29373.0,1670,0,2013-10-08 19:00:00
29170.0,1880,0,2013-10-08 20:00:00
27921.0,1708,0,2013-10-08 21:00:00
25800.0,1862,0,2013-10-08 22:00:00
23297.0,2058,0,2013-10-08 23:00:00
21428.0,2137,0,2013-10-09 00:00:00
20357.0,2356,0,2013-10-09 01:00:00
19616.0,2245,0,2013-10-09 02:00:00
19301.0,2085,0,2013-10-09 03:00:00
19430.0,2158,0,2013-10-09 04:00:00
20237.0,1990,0,2013-10-09 05:00:00
22276.0,1879,0,2013-10-09 06:00:00
24631.0,1796,191,2013-10-09 07:00:00
25451.0,1868,632,2013-10-09 08:00:00
26206.0,2045,819,2013-10-09 09:00:00
26729.0,1681,1084,2013-10-09 10:00:00
27278.0,1589,1057,2013-10-09 11:00:00
27080.0,1532,1138,2013-10-09 12:00:00
27116.0,1354,1281,2013-10-09 13:00:00
27219.0,1288,1078,2013-10-09 14:00:00
26947.0,1237,1024,2013-10-09 15:00:00
26323.0,1319,815,2013-10-09 16:00:00
26432.0,1613,216,2013-10-09 17:00:00
26704.0,1321,0,2013-10-09 18:00:00
28746.0,1324,0,2013-10-09 19:00:00
28427.0,1292,0,2013-10-09 20:00:00
27158.0,1587,0,2013-10-09 21:00:00
25226.0,1893,0,2013-10-09 22:00:00
22880.0,1800,0,2013-10-09 23:00:00
21048.0,1721,0,2013-10-10 00:00:00
19955.0,1592,0,2013-10-10 01:00:00
19293.0,1415,0,2013-10-10 02:00:00
19019.0,1292,0,2013-10-10 03:00:00
19150.0,1669,0,2013-10-10 04:00:00
19921.0,1734,0,2013-10-10 05:00:00
22104.0,1249,0,2013-10-10 06:00:00
24577.0,1036,207,2013-10-10 07:00:00
25052.0,1162,964,2013-10-10 08:00:00
25716.0,1651,1695,2013-10-10 09:00:00
26142.0,1736,1933,2013-10-10 10:00:00
26396.0,1805,1938,2013-10-10 11:00:00
26512.0,1913,1978,2013-10-10 12:00:00
26415.0,1878,1987,2013-10-10 13:00:00
26644.0,1830,1952,2013-10-10 14:00:00
26623.0,1792,1901,2013-10-10 15:00:00
26470.0,1829,1394,2013-10-10 16:00:00
26458.0,1649,486,2013-10-10 17:00:00
26597.0,1451,0,2013-10-10 18:00:00
28347.0,1377,0,2013-10-10 19:00:00
28603.0,1702,0,2013-10-10 20:00:00
27462.0,1784,0,2013-10-10 21:00:00
25476.0,1526,0,2013-10-10 22:00:00
23105.0,1385,0,2013-10-10 23:00:00
21254.0,1319,0,2013-10-11 00:00:00
20062.0,1171,0,2013-10-11 01:00:00
19346.0,1025,0,2013-10-11 02:00:00
19058.0,830,0,2013-10-11 03:00:00
19099.0,713,0,2013-10-11 04:00:00
19955.0,614,0,2013-10-11 05:00:00
21862.0,527,0,2013-10-11 06:00:00
24220.0,482,253,2013-10-11 07:00:00
24857.0,257,985,2013-10-11 08:00:00
25625.0,149,1796,2013-10-11 09:00:00
26023.0,140,2236,2013-10-11 10:00:00
26191.0,69,2318,2013-10-11 11:00:00
26171.0,54,2312,2013-10-11 12:00:00
26302.0,62,2313,2013-10-11 13:00:00
26494.0,97,2260,2013-10-11 14:00:00
26444.0,139,2006,2013-10-11 15:00:00
26416.0,144,1474,2013-10-11 16:00:00
26326.0,446,501,2013-10-11 17:00:00
26330.0,601,0,2013-10-11 18:00:00
28001.0,638,0,2013-10-11 19:00:00
27869.0,861,0,2013-10-11 20:00:00
26863.0,1010,0,2013-10-11 21:00:00
25323.0,1251,0,2013-10-11 22:00:00
23284.0,1063,0,2013-10-11 23:00:00
21411.0,886,0,2013-10-12 00:00:00
20062.0,664,0,2013-10-12 01:00:00
19267.0,510,0,2013-10-12 02:00:00
18811.0,703,0,2013-10-12 03:00:00
18588.0,789,0,2013-10-12 04:00:00
18900.0,557,0,2013-10-12 05:00:00
19729.0,403,0,2013-10-12 06:00:00
20422.0,288,308,2013-10-12 07:00:00
21255.0,185,1227,2013-10-12 08:00:00
22442.0,118,2098,2013-10-12 09:00:00
23001.0,61,2488,2013-10-12 10:00:00
23317.0,88,2594,2013-10-12 11:00:00
23318.0,166,2554,2013-10-12 12:00:00
23363.0,303,2557,2013-10-12 13:00:00
23491.0,555,2508,2013-10-12 14:00:00
23564.0,754,2198,2013-10-12 15:00:00
23701.0,1181,1573,2013-10-12 16:00:00
23884.0,1481,491,2013-10-12 17:00:00
24304.0,1758,0,2013-10-12 18:00:00
26321.0,1896,0,2013-10-12 19:00:00
26141.0,2163,0,2013-10-12 20:00:00
25283.0,2234,0,2013-10-12 21:00:00
23893.0,2245,0,2013-10-12 22:00:00
22041.0,2175,0,2013-10-12 23:00:00
20399.0,1959,0,2013-10-13 00:00:00
19282.0,1729,0,2013-10-13 01:00:00
18528.0,1472,0,2013-10-13 02:00:00
18039.0,1252,0,2013-10-13 03:00:00
17954.0,1119,0,2013-10-13 04:00:00
18018.0,1174,0,2013-10-13 05:00:00
18579.0,1168,0,2013-10-13 06:00:00
18852.0,1463,301,2013-10-13 07:00:00
19836.0,1718,1231,2013-10-13 08:00:00
20812.0,2112,2138,2013-10-13 09:00:00
21540.0,2288,2574,2013-10-13 10:00:00
21832.0,2264,2682,2013-10-13 11:00:00
22042.0,2239,2669,2013-10-13 12:00:00
22048.0,2252,2587,2013-10-13 13:00:00
22254.0,2251,2540,2013-10-13 14:00:00
22337.0,2307,2221,2013-10-13 15:00:00
22621.0,2530,1559,2013-10-13 16:00:00
23178.0,2533,459,2013-10-13 17:00:00
24563.0,2357,0,2013-10-13 18:00:00
26029.0,2020,0,2013-10-13 19:00:00
26349.0,1623,0,2013-10-13 20:00:00
25360.0,1286,0,2013-10-13 21:00:00
23547.0,999,0,2013-10-13 22:00:00
21442.0,768,0,2013-10-13 23:00:00
19789.0,565,0,2013-10-14 00:00:00
18732.0,334,0,2013-10-14 01:00:00
18205.0,190,0,2013-10-14 02:00:00
17975.0,163,0,2013-10-14 03:00:00
18131.0,276,0,2013-10-14 04:00:00
19120.0,301,0,2013-10-14 05:00:00
21040.0,282,0,2013-10-14 06:00:00
23288.0,381,293,2013-10-14 07:00:00
24535.0,467,1217,2013-10-14 08:00:00
25343.0,622,2116,2013-10-14 09:00:00
25784.0,768,2526,2013-10-14 10:00:00
26278.0,686,2625,2013-10-14 11:00:00
26685.0,490,2603,2013-10-14 12:00:00
26922.0,350,2578,2013-10-14 13:00:00
27324.0,300,2509,2013-10-14 14:00:00
27670.0,285,2192,2013-10-14 15:00:00
27777.0,311,1548,2013-10-14 16:00:00
27741.0,220,483,2013-10-14 17:00:00
27968.0,177,0,2013-10-14 18:00:00
29759.0,166,0,2013-10-14 19:00:00
29293.0,145,0,2013-10-14 20:00:00
27941.0,150,0,2013-10-14 21:00:00
25718.0,172,0,2013-10-14 22:00:00
23232.0,191,0,2013-10-14 23:00:00
21345.0,194,0,2013-10-15 00:00:00
20195.0,139,0,2013-10-15 01:00:00
19484.0,179,0,2013-10-15 02:00:00
18878.0,258,0,2013-10-15 03:00:00
18949.0,514,0,2013-10-15 04:00:00
19766.0,699,0,2013-10-15 05:00:00
21814.0,948,0,2013-10-15 06:00:00
24246.0,870,286,2013-10-15 07:00:00
24997.0,790,1201,2013-10-15 08:00:00
25704.0,838,2074,2013-10-15 09:00:00
26364.0,1037,2498,2013-10-15 10:00:00
27130.0,1098,2618,2013-10-15 11:00:00
27414.0,927,2624,2013-10-15 12:00:00
27812.0,645,2618,2013-10-15 13:00:00
28360.0,514,2559,2013-10-15 14:00:00
28611.0,396,2247,2013-10-15 15:00:00
28538.0,357,1604,2013-10-15 16:00:00
28481.0,313,470,2013-10-15 17:00:00
28374.0,254,0,2013-10-15 18:00:00
29753.0,284,0,2013-10-15 19:00:00
29492.0,334,0,2013-10-15 20:00:00
28140.0,351,0,2013-10-15 21:00:00
25911.0,267,0,2013-10-15 22:00:00
23351.0,237,0,2013-10-15 23:00:00
21444.0,249,0,2013-10-16 00:00:00
20149.0,220,0,2013-10-16 01:00:00
19457.0,183,0,2013-10-16 02:00:00
19120.0,162,0,2013-10-16 03:00:00
19211.0,134,0,2013-10-16 04:00:00
19966.0,86,0,2013-10-16 05:00:00
22018.0,71,0,2013-10-16 06:00:00
24520.0,54,238,2013-10-16 07:00:00
25307.0,59,978,2013-10-16 08:00:00
26181.0,85,1741,2013-10-16 09:00:00
26732.0,134,2114,2013-10-16 10:00:00
27527.0,142,2228,2013-10-16 11:00:00
27842.0,92,2259,2013-10-16 12:00:00
28272.0,86,2408,2013-10-16 13:00:00
28833.0,78,2310,2013-10-16 14:00:00
29128.0,71,1965,2013-10-16 15:00:00
29292.0,58,1347,2013-10-16 16:00:00
28979.0,49,381,2013-10-16 17:00:00
28890.0,49,0,2013-10-16 18:00:00
30214.0,46,0,2013-10-16 19:00:00
29828.0,42,0,2013-10-16 20:00:00
28315.0,90,0,2013-10-16 21:00:00
26019.0,122,0,2013-10-16 22:00:00
23402.0,151,0,2013-10-16 23:00:00
21531.0,159,0,2013-10-17 00:00:00
20273.0,166,0,2013-10-17 01:00:00
19543.0,304,0,2013-10-17 02:00:00
19134.0,581,0,2013-10-17 03:00:00
19233.0,596,0,2013-10-17 04:00:00
20065.0,586,0,2013-10-17 05:00:00
22016.0,531,0,2013-10-17 06:00:00
24563.0,588,212,2013-10-17 07:00:00
25198.0,530,961,2013-10-17 08:00:00
25915.0,322,1752,2013-10-17 09:00:00
26495.0,266,2139,2013-10-17 10:00:00
27005.0,172,2255,2013-10-17 11:00:00
27568.0,82,2254,2013-10-17 12:00:00
27886.0,95,2244,2013-10-17 13:00:00
28329.0,241,2134,2013-10-17 14:00:00
28328.0,620,1867,2013-10-17 15:00:00
28593.0,1093,1346,2013-10-17 16:00:00
28325.0,1349,371,2013-10-17 17:00:00
28213.0,1471,0,2013-10-17 18:00:00
29684.0,1545,0,2013-10-17 19:00:00
29383.0,1460,0,2013-10-17 20:00:00
28188.0,1386,0,2013-10-17 21:00:00
25856.0,1156,0,2013-10-17 22:00:00
23339.0,985,0,2013-10-17 23:00:00
21460.0,721,0,2013-10-18 00:00:00
20208.0,574,0,2013-10-18 01:00:00
19438.0,403,0,2013-10-18 02:00:00
19126.0,277,0,2013-10-18 03:00:00
19185.0,200,0,2013-10-18 04:00:00
19941.0,185,0,2013-10-18 05:00:00
21766.0,181,0,2013-10-18 06:00:00
24171.0,157,220,2013-10-18 07:00:00
24972.0,125,995,2013-10-18 08:00:00
25631.0,159,1772,2013-10-18 09:00:00
