name,lat,long,Population,Income,Gini,White %,Household size,Agriculture employ.,Conservation,SPEI_3YEARS
Alameda,37.765234,-122.243627,74818,38796,0.4658,48.49635115,2.511008189,0.171439286,0.16,-2.515306782
Amador Water Agency,38.382932,-120.788387,145,16250,0.5472,87.5862069,1.768292683,0,0.24,-2.515306782
Arvin,35.201833,-118.833016,19665,15043,0.3839,83.12738368,4.400313269,52.57817929,0.28,-2.515306782
Atascadero,35.489381,-120.673654,28613,34100,0.414,89.22867228,2.596225388,1.2263938,0.28,-2.515306782
Bella Vista,40.70247,-122.166804,2611,20771,0.3285,92.99119111,2.872387239,0,0.36,-2.515306782
Big Bear City,34.261229,-116.844507,12147,20275,0.4459,88.76265745,2.502472188,2.712477396,0.16,-2.515306782
Antelope Valley,34.752322,-118.252426,47520,30604,0.3983,63.78787879,3.314963376,0.598918083,0.36,-2.515306782
Bakersfield,35.370183,-119.008397,352918,24605,0.4458,65.51975246,3.210330022,10.30289646,0.32,-2.515306782
Bear Gulch,37.433306,-122.228145,138,13750,0.4191,61.5942029,2.936170213,0,0.36,-2.515306782
Chico,39.748587,-121.823069,86833,21151,0.4595,82.87747746,2.56978396,2.123509222,0.32,-2.515306782
Dixon,38.448481,-121.833056,18524,30909,0.3979,78.07708918,3.110663308,3.528872594,0.28,-2.515306782
Hermosa/Redondo,33.86291,-118.395123,19605,61720,0.462,86.10048457,2.109879466,0.075700227,0.2,-2.515306782
King City,36.212584,-121.126559,12996,17727,0.4099,84.99538319,4.654727794,45.88888889,0.12,-2.515306782
Los Altos,37.380076,-122.106002,29389,73410,0.4889,69.24699718,2.665427172,0,0.32,-2.515306782
Marysville,39.145678,-121.588858,12144,16628,0.4519,70.28162055,2.712530713,2.845630823,0.24,-2.515306782
Oroville,39.51178,-121.553367,15858,17244,0.4376,73.38882583,2.86607627,2.755177515,0.28,-2.515306782
Redwood Valley,39.267244,-123.204244,2105,17939,0.2858,79.95249406,3.738898757,5.731832139,0.16,-2.515306782
Salinas,36.67837,-121.65579,152340,20126,0.4081,72.76289878,3.765758639,21.08737245,0.16,-2.515306782
Selma,36.570842,-119.613147,23538,16927,0.4156,56.90797859,3.639146568,19.87570985,0.32,-2.515306782
