load,wind,solar,time
21376.0,1823,0,2015-04-01 00:00:00
20287.0,2001,0,2015-04-01 01:00:00
19561.0,2087,0,2015-04-01 02:00:00
19236.0,1971,0,2015-04-01 03:00:00
19243.0,2175,0,2015-04-01 04:00:00
20146.0,2803,0,2015-04-01 05:00:00
22220.0,2565,0,2015-04-01 06:00:00
24273.0,2633,800,2015-04-01 07:00:00
24872.0,2512,2803,2015-04-01 08:00:00
25565.0,2737,4491,2015-04-01 09:00:00
25729.0,2640,5319,2015-04-01 10:00:00
25892.0,2460,5487,2015-04-01 11:00:00
25758.0,2301,5539,2015-04-01 12:00:00
25796.0,2376,5635,2015-04-01 13:00:00
26379.0,2409,5628,2015-04-01 14:00:00
26320.0,2570,5366,2015-04-01 15:00:00
26161.0,3206,4556,2015-04-01 16:00:00
26182.0,3676,3058,2015-04-01 17:00:00
26300.0,3740,847,2015-04-01 18:00:00
26855.0,3833,0,2015-04-01 19:00:00
28782.0,3626,0,2015-04-01 20:00:00
27580.0,3337,0,2015-04-01 21:00:00
25661.0,3199,0,2015-04-01 22:00:00
23115.0,3163,0,2015-04-01 23:00:00
21401.0,2978,0,2015-04-02 00:00:00
20443.0,3298,0,2015-04-02 01:00:00
19658.0,3456,0,2015-04-02 02:00:00
19378.0,3463,0,2015-04-02 03:00:00
19399.0,3280,0,2015-04-02 04:00:00
20328.0,3587,0,2015-04-02 05:00:00
22405.0,3493,0,2015-04-02 06:00:00
24294.0,3546,714,2015-04-02 07:00:00
24874.0,3617,2698,2015-04-02 08:00:00
25233.0,3255,4367,2015-04-02 09:00:00
25535.0,2368,5440,2015-04-02 10:00:00
25710.0,1355,5588,2015-04-02 11:00:00
25513.0,1140,5642,2015-04-02 12:00:00
25506.0,936,5730,2015-04-02 13:00:00
25634.0,895,5732,2015-04-02 14:00:00
25702.0,786,5551,2015-04-02 15:00:00
25664.0,924,4778,2015-04-02 16:00:00
25843.0,1405,3183,2015-04-02 17:00:00
25882.0,1819,922,2015-04-02 18:00:00
26706.0,2054,0,2015-04-02 19:00:00
28621.0,2064,0,2015-04-02 20:00:00
27377.0,1523,0,2015-04-02 21:00:00
25629.0,976,0,2015-04-02 22:00:00
23179.0,699,0,2015-04-02 23:00:00
21444.0,473,0,2015-04-03 00:00:00
20407.0,430,0,2015-04-03 01:00:00
19589.0,365,0,2015-04-03 02:00:00
19281.0,285,0,2015-04-03 03:00:00
19329.0,356,0,2015-04-03 04:00:00
20139.0,394,0,2015-04-03 05:00:00
21898.0,335,14,2015-04-03 06:00:00
23323.0,310,992,2015-04-03 07:00:00
24233.0,400,3393,2015-04-03 08:00:00
24658.0,588,4865,2015-04-03 09:00:00
25093.0,689,5387,2015-04-03 10:00:00
25268.0,558,5654,2015-04-03 11:00:00
25316.0,313,5861,2015-04-03 12:00:00
25319.0,241,5828,2015-04-03 13:00:00
25636.0,266,5713,2015-04-03 14:00:00
25637.0,305,5361,2015-04-03 15:00:00
25555.0,358,4671,2015-04-03 16:00:00
26129.0,454,3257,2015-04-03 17:00:00
26144.0,484,934,2015-04-03 18:00:00
26586.0,594,0,2015-04-03 19:00:00
28072.0,874,0,2015-04-03 20:00:00
26888.0,1244,0,2015-04-03 21:00:00
25423.0,1661,0,2015-04-03 22:00:00
23216.0,1820,0,2015-04-03 23:00:00
21334.0,1731,0,2015-04-04 00:00:00
20082.0,1673,0,2015-04-04 01:00:00
19238.0,1788,0,2015-04-04 02:00:00
18825.0,1864,0,2015-04-04 03:00:00
18733.0,1888,0,2015-04-04 04:00:00
18969.0,1780,0,2015-04-04 05:00:00
19820.0,1595,16,2015-04-04 06:00:00
20360.0,1137,1032,2015-04-04 07:00:00
21058.0,715,3400,2015-04-04 08:00:00
21735.0,759,5039,2015-04-04 09:00:00
22103.0,576,5726,2015-04-04 10:00:00
22161.0,612,5885,2015-04-04 11:00:00
22287.0,628,5803,2015-04-04 12:00:00
22287.0,873,5815,2015-04-04 13:00:00
22270.0,1448,5452,2015-04-04 14:00:00
22525.0,1898,5082,2015-04-04 15:00:00
23008.0,2483,4240,2015-04-04 16:00:00
23421.0,2746,2970,2015-04-04 17:00:00
24036.0,2602,929,2015-04-04 18:00:00
24776.0,2756,0,2015-04-04 19:00:00
26531.0,2554,0,2015-04-04 20:00:00
25564.0,2305,0,2015-04-04 21:00:00
24232.0,2325,0,2015-04-04 22:00:00
22292.0,2205,0,2015-04-04 23:00:00
20542.0,2165,0,2015-04-05 00:00:00
19358.0,2610,0,2015-04-05 01:00:00
18621.0,2809,0,2015-04-05 02:00:00
18188.0,2141,0,2015-04-05 03:00:00
17972.0,1930,0,2015-04-05 04:00:00
18137.0,2396,0,2015-04-05 05:00:00
18764.0,2105,23,2015-04-05 06:00:00
18977.0,1871,1070,2015-04-05 07:00:00
19686.0,1553,3035,2015-04-05 08:00:00
20176.0,1248,4294,2015-04-05 09:00:00
20547.0,1397,4874,2015-04-05 10:00:00
20735.0,1584,4654,2015-04-05 11:00:00
20630.0,1934,4613,2015-04-05 12:00:00
20430.0,2243,4451,2015-04-05 13:00:00
20220.0,2186,4500,2015-04-05 14:00:00
19980.0,2483,4452,2015-04-05 15:00:00
20160.0,2600,3486,2015-04-05 16:00:00
20521.0,3031,2344,2015-04-05 17:00:00
21088.0,2829,821,2015-04-05 18:00:00
22327.0,2438,0,2015-04-05 19:00:00
24947.0,2388,0,2015-04-05 20:00:00
24526.0,2471,0,2015-04-05 21:00:00
22868.0,2612,0,2015-04-05 22:00:00
20985.0,2447,0,2015-04-05 23:00:00
19481.0,2056,0,2015-04-06 00:00:00
18762.0,2440,0,2015-04-06 01:00:00
18296.0,2449,0,2015-04-06 02:00:00
18122.0,2380,0,2015-04-06 03:00:00
18364.0,2347,0,2015-04-06 04:00:00
19404.0,2350,0,2015-04-06 05:00:00
21571.0,2334,29,2015-04-06 06:00:00
